,family,LinkerVersion,ImageVersion,InitializedDataSize,EntryPoint,MIMEType,TimeStamp,FileType,PEType,SubsystemVersion,UninitializedDataSize,OSVersion,md5,Subsystem,MachineType,CodeSize,FileTypeExtension
25,locky,9.0,9.0,237568,0x7e4a,application/octet-stream,2016:04:29 07:24:54+01:00,Win32 EXE,PE32,5.0,0,5.0,1d0687fe7c7c5591f1049ecb84e8cbd9,Windows GUI,"Intel 386 or later, and compatibles",61952,exe
26,locky,9.0,9.0,237568,0x7e4a,application/octet-stream,2016:04:29 07:24:54+01:00,Win32 EXE,PE32,5.0,0,5.0,0aa56c23cff79948f977ebd1a470b4ad,Windows GUI,"Intel 386 or later, and compatibles",61952,exe
27,locky,2.5,0.0,149504,0x1000,application/octet-stream,2016:10:11 08:14:20+01:00,Win32 EXE,PE32,4.0,0,4.0,85af16270f649b670cd255e6054d5388,Windows GUI,"Intel 386 or later, and compatibles",41472,exe
28,locky,10.0,0.0,162304,0xbdf7,application/octet-stream,2016:07:05 00:30:18+01:00,Win32 EXE,PE32,5.1,0,5.1,901ef89350b60a992e1a6c67a61dcdab,Windows GUI,"Intel 386 or later, and compatibles",69120,exe
29,locky,10.0,0.0,162304,0xbdf7,application/octet-stream,2016:07:04 16:30:18-07:00,Win32 EXE,PE32,5.1,0,5.1,fe4985beae55b054259bf14d3a3e50a7,Windows GUI,"Intel 386 or later, and compatibles",69120,exe
30,locky,6.0,6.0,3805696,0x3212,application/octet-stream,2014:10:07 05:39:59+01:00,Win32 EXE,PE32,4.0,2048,4.0,3b522c3e3fc6cf29a2c8c65a80f14a08,Windows GUI,"Intel 386 or later, and compatibles",24576,exe
31,locky,9.0,0.0,93696,0x12f3f,application/octet-stream,2016:03:09 07:07:41+01:00,Win32 EXE,PE32,5.1,4096,5.1,252957f37b8bd7a57473eab5f1a65d5c,Windows GUI,"Intel 386 or later, and compatibles",78848,exe
32,locky,2.5,0.0,160256,0x1000,application/octet-stream,2016:08:18 14:50:48+01:00,Win32 EXE,PE32,4.0,0,4.0,a8344ecd79b1c1371526ee06a0a0fcd6,Windows GUI,"Intel 386 or later, and compatibles",102912,exe
33,locky,,,,,application/vnd.ms-word.document.macroEnabled,,DOCM,,,,,ea8b3acdfb0c30156977897f693f9db6,,,,docm
34,locky,,,,,application/vnd.ms-word.document.macroEnabled,,DOCM,,,,,5cc3a50ee804e38a1d4546166e204544,,,,docm
35,locky,,,,,application/vnd.ms-word.document.macroEnabled,,DOCM,,,,,552ba52f618ac8d1e50a5524ef15bb5c,,,,docm
36,locky,,,,,application/vnd.ms-word.document.macroEnabled,,DOCM,,,,,5d2cebe73f8387466ef8534797840de0,,,,docm
37,locky,,,,,application/vnd.ms-word.document.macroEnabled,,DOCM,,,,,5f0cb3259701298a76d6ca475b4e404e,,,,docm
