,fileversion,Comments,Template,LanguageCode,InternalName,SharedDoc,Company,ZipBitFlag,Originalfilename,Legalcopyright,Subsystem,TimeStamp,PEType,Legaltrademarks,FileAccessDate,productversion,OSVersion,LegalCopyright,TotalEditTime,Creator,legaltrademarks,productname,ProductVersionNumber,Warning,Application,ZipFileName,CompanyWebsite,DirectShow,ZipCRC,CharacterSet,comments,CreateDate,AppVersion,UninitializedDataSize,FileOS,md5,legalcopyright,LegalTrademarks,ProductName,FileTypeExtension,AssemblyVersion,ProductVersion,family,LinksUpToDate,LinkerVersion,filedescription,ImageVersion,FileVersionNumber,FileFlagsMask,ModifyDate,FullVersion,companyname,InitializedDataSize,Characters,ScaleCrop,OriginalFileName,Words,Productname,OLESelfRegister,CompanyName,SubsystemVersion,DocSecurity,ZipModifyDate,internalname,HeadingPairs,ZipCompression,CodeSize,MIMEType,HyperlinksChanged,LastModifiedBy,ZipRequiredVersion,ImageFileCharacteristics,Pages,RevisionNumber,FileVersion,FileType,Filedescription,Lines,ZipUncompressedSize,CharactersWithSpaces,FileDescription,FileCreateDate,originalfilename,ZipCompressedSize,MachineType,FileSubtype,EntryPoint,ObjectFileType,Paragraphs
10,,,,,,,,,,,Windows GUI,2016:04:18 18:05:30+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,1011a4fa57954818d4e378a2af9fc3d6,,,,exe,,,CTB-locker,,6.0,,0.0,,,,,,20480,,,,,,,,4.0,,,,,,28672,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x6d22,,
11,,Geografierne,,English (Australian),Marshberries3,,,,,,Windows GUI,2016:04:21 15:14:42+02:00,PE32,,,,4.0,,,,,,1.0.0.0,,,,,,,Unicode,,,,0,Win32,77fac4194a04d2bbd9b4503044f4250c,,,Pjattes,exe,,1.0,CTB-locker,,6.0,,1.0,1.0.0.0,0x0000,,,,53248,,,Marshberries3.exe,,,,Halon Krusk,4.0,,,,,,778240,application/octet-stream,,,,,,,1.0,Win32 EXE,,,,,Stagnantness5,,,,"Intel 386 or later, and compatibles",0,0x1274,Executable application,
12,,Druesyrerne,,English (Australian),Toges,,,,,,Windows GUI,2016:04:21 03:58:24+01:00,PE32,,,,4.0,,,,,,1.0.0.0,,,,,,,Unicode,,,,0,Win32,fa51284e30ae0547fec613aecf61191a,,,Uniniquitously7,exe,,1.0,CTB-locker,,6.0,,1.0,1.0.0.0,0x0000,,,,53248,,,Toges.exe,,,,Halon Krusk,4.0,,,,,,778240,application/octet-stream,,,,,,,1.0,Win32 EXE,,,,,Navnekonto7,,,,"Intel 386 or later, and compatibles",0,0x1258,Executable application,
13,,,,,,,,,,,Windows GUI,2016:03:09 14:03:47+01:00,PE32,,,,4.5,,,,,,,,,,,,,,,,,49152,,5bf3e5258ec9efe29f92acbac924c451,,,,exe,,,CTB-locker,,6.5,,0.0,,,,,,49152,,,,,,,,4.2048,,,,,,16384,application/octet-stream,,,,"No relocs, Executable, No line numbers, No symbols, 32-bit",,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x23b6,,
14,,Smertefuldeste8,,English (Australian),Khalat,,,,,,Windows GUI,2016:04:18 15:35:41+01:00,PE32,,,,4.0,,,,,,1.0.0.0,,,,,,,Unicode,,,,0,Win32,cf98e53ef516ef190ff0039073a048dd,,,Chamm,exe,,1.0,CTB-locker,,6.0,,1.0,1.0.0.0,0x0000,,,,32768,,,Khalat.exe,,,,Halon Krusk,4.0,,,,,,745472,application/octet-stream,,,,,,,1.0,Win32 EXE,,,,,Knaldperles3,,,,"Intel 386 or later, and compatibles",0,0x1274,Executable application,
15,,,,,,,,,,,Windows GUI,2016:03:09 14:03:47+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,49152,,b6cdfdef61c8acbcb72b43547eb7aab4,,,,exe,,,CTB-locker,,6.5,,0.0,,,,,,49152,,,,,,,,4.2048,,,,,,16384,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x23b6,,
16,,Professional Icon Editor,,English (U.S.),IcoFX,,,,,,Windows GUI,2016:03:18 14:36:21+01:00,PE32,,,,3.4,Copyright (C) 2005 - 2015 IcoFX Software,,,,,2.11.0.0,,,,,,,"Windows, Latin1",,,,32768,Win32,a4c64aefb73d3623521d91d5d63cdb45,,IcoFX,IcoFX,exe,,2.11,CTB-locker,,5.0,,0.0,2.11.0.0,0x003f,,,,32768,,,IcoFX2.exe,,,,IcoFX Software,4.1024,,,,,,28672,application/octet-stream,,,,"Executable, Aggressive working-set trim, 32-bit",,,2.11.0.0,Win32 EXE,,,,,IcoFX - The Professional Icon Editor,,,,"Intel 386 or later, and compatibles",0,0x6f28,Executable application,
17,,,,German (Austrian),Zc,,,,,,Windows GUI,2016:03:25 20:29:51+01:00,PE32,,,,4.4,Copyright ? 2016,,,,,1.0.0.1,,,,,,,"Windows, Latin1",,,,0,Windows NT 32-bit,44351f134a282f98359766ca2cd03e14,,,Zc,exe,,"1, 0, 0, 1",CTB-locker,,6.0,,0.0,1.0.0.1,0x003f,,,,745472,,,Zc.exe,,,,,4.0,,,,,,28672,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Zc,,,,"Intel 386 or later, and compatibles",0,0x6d82,Executable application,
18,,,,,,,,,,,Windows GUI,2014:10:07 05:40:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,1024,,428285ac08507dcaefe93d269247506d,,,,exe,,,CTB-locker,,6.0,,6.0,,,,,,117760,,,,,,,,4.0,,,,,,23552,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x3217,,
19,,,,,,,,,,,Windows GUI,2014:10:07 05:40:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,1024,,73c570a78ca50abea3a623c84fa69daa,,,,exe,,,CTB-locker,,6.0,,6.0,,,,,,117760,,,,,,,,4.0,,,,,,23552,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x3217,,
