,fileversion,Comments,Template,LanguageCode,InternalName,SharedDoc,Company,ZipBitFlag,Originalfilename,Legalcopyright,Subsystem,TimeStamp,PEType,Legaltrademarks,FileAccessDate,productversion,OSVersion,LegalCopyright,TotalEditTime,Creator,legaltrademarks,productname,ProductVersionNumber,Warning,Application,ZipFileName,CompanyWebsite,DirectShow,ZipCRC,CharacterSet,comments,CreateDate,AppVersion,UninitializedDataSize,FileOS,md5,legalcopyright,LegalTrademarks,ProductName,FileTypeExtension,AssemblyVersion,ProductVersion,family,LinksUpToDate,LinkerVersion,filedescription,ImageVersion,FileVersionNumber,FileFlagsMask,ModifyDate,FullVersion,companyname,InitializedDataSize,Characters,ScaleCrop,OriginalFileName,Words,Productname,OLESelfRegister,CompanyName,SubsystemVersion,DocSecurity,ZipModifyDate,internalname,HeadingPairs,ZipCompression,CodeSize,MIMEType,HyperlinksChanged,LastModifiedBy,ZipRequiredVersion,ImageFileCharacteristics,Pages,RevisionNumber,FileVersion,FileType,Filedescription,Lines,ZipUncompressedSize,CharactersWithSpaces,FileDescription,FileCreateDate,originalfilename,ZipCompressedSize,MachineType,FileSubtype,EntryPoint,ObjectFileType,Paragraphs
47,,,,Spanish (Modern),invoice,,,,,,Windows GUI,2016:01:09 18:16:55+01:00,PE32,,,,4.0,(C) 2011,,,,,1.0.0.1,Possibly corrupt Version resource,,,,,,"Windows, Hebrew",,,,0,Win32,a5b9efd7aae56ab5b3e166b54400cea8,,,invoice,exe,,"1, 0, 0, 1",CTB-locker,,5.5,,0.0,1.0.0.1,0x003f,,,,749568,,,invoice.exe,,,,,4.4,,,,,,8192,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,invoice,,,,"Intel 386 or later, and compatibles",0,0x1ea2,Executable application,
48,,,,,,,,,,,Windows GUI,2016:01:11 20:34:05+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,d8a6831e73bedcd7f09696e2dfe3f732,,,,exe,,,CTB-locker,,6.0,,11.0,,,,,,9457664,,,,,,,,4.0,,,,,,81920,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x17f0,,
49,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 05:43:34+01:00,,4.0,,,,,,,,,,,,,,,,,0,,e6b37fe5775812b5006cb6a2bb89977c,,,,,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 05:43:34+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
50,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,31fab5d4dc9e7baba161e6eca79af442,,,,exe,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
51,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,50198b5b3b60bed98a6531fbed2252a0,,,,,,,cybergate,,2.25,,0.0,,,,,,243200,,,,,,,,4.0,,,,,,45568,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xbbcc,,
52,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,532265c36a89daeb95a025395a817348,,,,,,,cybergate,,2.25,,0.0,,,,,,239616,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
53,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 07:16:07+01:00,,4.0,,,,,,,,,,,,,,,,,0,,d3cce60e0f2b7d92ccbfc9dc1bd7ad0f,,,,,,,cybergate,,2.25,,0.0,,,,,,239616,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 07:16:07+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
54,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,60a6949a16edb92a8501132939008127,,,,,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
55,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 08:15:02+01:00,,4.0,,,,,,,,,,,,,,,,,0,,8e82122767022b7d49f1f2d43f7040dd,,,,,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 08:15:02+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
56,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:04:14 10:02:23+01:00,,4.0,,,,,,,,,,,,,,,,,0,,9869f4ef5a911595156ca61991126212,,,,,,,cybergate,,2.25,,0.0,,,,,,239616,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:04:14 10:02:23+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
57,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:05:26 00:08:04+01:00,,4.0,,,,,,,,,,,,,,,,,0,,9a15502f62ff537618841b4d4baafcf0,,,,,,,cybergate,,2.25,,0.0,,,,,,243200,,,,,,,,4.0,,,,,,45568,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:05:26 00:08:04+01:00,,,"Intel 386 or later, and compatibles",,0xbbcc,,
58,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 05:24:52+01:00,,4.0,,,,,,,,,,,,,,,,,0,,cbfae9234b8dd18a3d5cf806e3b46263,,,,,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 05:24:52+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
59,,Remote Service Application,,English (U.S.),MSRSAAPP,,,,,,Windows GUI,2012:06:07 16:59:53+01:00,PE32,,,,4.0,Copyright (C) 1999,,,,,4.0.0.0,,,,,,,Unicode,,,,0,Win32,7ec7d9c3927d668c81f0d41c579a0df4,,,Remote Service Application,exe,,"4, 0, 0, 0",cybergate,,2.25,,0.0,4.0.0.0,0x003f,,,,86016,,,MSRSAAP.EXE,,,,Microsoft Corp.,4.0,,,,,,586752,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Remote Service Application,,,,"Intel 386 or later, and compatibles",0,0x8f888,Executable application,
60,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 08:36:02+01:00,,4.0,,,,,,,,,,,,,,,,,0,,e2805cfff9fffd24e6abdfce3643afad,,,,,,,cybergate,,4.21,,0.0,,,,,,16384,,,,,,,,4.0,,,,,,372736,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 08:36:02+01:00,,,"Intel 386 or later, and compatibles",,0xbbcc,,
61,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:04:01 11:22:12+01:00,,4.0,,,,,,,,,,,,,,,,,73728,,7d1788f05546128ca230d4a925472907,,,,,,,cybergate,,2.25,,0.0,,,,,,4096,,,,,,,,4.0,,,,,,278528,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:04:01 11:22:12+01:00,,,"Intel 386 or later, and compatibles",,0x56620,,
62,,,,,,,,,,,Windows GUI,1992:06:20 00:22:17+02:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,fa1a792d0f253c4c0b105122cfc0b46a,,,,,,,cybergate,,2.25,,0.0,,,,,,242688,,,,,,,,4.0,,,,,,46592,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xbe3c,,
63,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:03:16 04:02:15+01:00,,4.0,,,,,,,,,,,,,,,,,73728,,6cd39faad8a780ce2d66cefdec058899,,,,,,,cybergate,,2.25,,0.0,,,,,,4096,,,,,,,,4.0,,,,,,278528,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:03:16 04:02:15+01:00,,,"Intel 386 or later, and compatibles",,0x56610,,
64,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,dbb099b05177933212f8262b936d1cbf,,,,exe,,,cybergate,,2.25,,0.0,,,,,,534016,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
65,,,,,,,,,,,Windows GUI,1992:06:20 00:22:17+02:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,feb6bcdad25e61badf8146ef6d85d9ea,,,,,,,cybergate,,2.25,,0.0,,,,,,239616,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
66,,,,,,,,,,,Windows GUI,2000:11:03 08:41:15+01:00,PE32,,2014:07:06 06:56:38+01:00,,4.0,,,,,,,,,,,,,,,,,0,,a15bbf7546400af475bc0f460c866ddd,,,,,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 06:56:38+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
67,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 06:29:16+01:00,,4.0,,,,,,,,,,,,,,,,,0,,e3439afd875ccfc90b741379dcdad65f,,,,,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 06:29:16+01:00,,,"Intel 386 or later, and compatibles",,0x50200,,
68,,,,,,,,,,,Windows GUI,2008:01:06 15:51:31+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,46604a70b623984862fb89af33f8ad3d,,,,exe,,,cybergate,,5.12,,4.0,,,,,,9216,,,,,,,,4.0,,,,,,512,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x0208,,
69,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 09:57:34+01:00,,4.0,,,,,,,,,,,,,,,,,0,,e58ea7a6dd5c56629608d6413ef3501b,,,,,,,cybergate,,2.25,,0.0,,,,,,232960,,,,,,,,4.0,,,,,,46080,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 09:57:34+01:00,,,"Intel 386 or later, and compatibles",,0xbca4,,
70,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 05:00:18+01:00,,4.0,,,,,,,,,,,,,,,,,0,,63041fa934971c3829aa68b7ca29473e,,,,,,,cybergate,,2.25,,0.0,,,,,,232960,,,,,,,,4.0,,,,,,46080,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 05:00:18+01:00,,,"Intel 386 or later, and compatibles",,0xbca4,,
71,,,,,,,,,,,Windows GUI,1992:06:19 22:22:17+00:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,0ba36b98bcfb6d98872fca6e2eb91e6f,,,,exe,,,cybergate,,2.25,,0.0,,,,,,240128,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,"Executable, No line numbers, No symbols, Bytes reversed lo, 32-bit, Bytes reversed hi",,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
72,,,,,,,,,,,Windows GUI,1992:06:19 22:22:17+00:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,3e4e1b731cd46e6a854bdcf268ea3161,,,,exe,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
73,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:04:10 14:44:00+01:00,,4.0,,,,,,,,,,,,,,,,,4096,,80a9bc2361bbd24b21c18df0dc4f2580,,,,,,,cybergate,,6.0,,0.0,,,,,,324096,,,,,,,,4.0,,,,,,0,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:04:10 14:44:00+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
74,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:04:13 08:57:38+01:00,,4.0,,,,,,,,,,,,,,,,,0,,9706e40a6df6940485234ac4c6991eeb,,,,,,,cybergate,,2.25,,0.0,,,,,,242688,,,,,,,,4.0,,,,,,46592,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:04:13 08:57:38+01:00,,,"Intel 386 or later, and compatibles",,0xbe3c,,
75,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 09:34:16+01:00,,4.0,,,,,,,,,,,,,,,,,0,,65b1ebf391737d64438dbe9279bcd096,,,,,,,cybergate,,2.25,,0.0,,,,,,239616,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 09:34:16+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
76,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,4096,,3be00ae45f84baf74ada5ed7e87cf6fd,,,,exe,,,cybergate,,6.0,,0.0,,,,,,543744,,,,,,,,4.0,,,,,,142848,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xbbcc,,
77,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 05:21:32+01:00,,4.0,,,,,,,,,,,,,,,,,0,,b162a2ace62e9c444530766a06594f21,,,,,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 05:21:32+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
78,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 05:52:27+01:00,,4.0,,,,,,,,,,,,,,,,,0,,6b805a28b0670828062416df99faea2a,,,,,,,cybergate,,2.25,,0.0,,,,,,239616,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 05:52:27+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
79,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,6f09cafb88a4b7a21711e7fa877c3d03,,,,exe,,,cybergate,,2.25,,0.0,,,,,,242688,,,,,,,,4.0,,,,,,46592,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xbe3c,,
80,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,52978198e3d3d5f0a614f7c0fc236e8c,,,,exe,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
81,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 05:11:06+01:00,,4.0,,,,,,,,,,,,,,,,,0,,a6798cfb887d15300a769f8cabe13cf0,,,,,,,cybergate,,2.25,,0.0,,,,,,239616,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 05:11:06+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
82,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 10:10:20+01:00,,4.0,,,,,,,,,,,,,,,,,0,,5812f73c70df432fd61709b101be1cd7,,,,,,,cybergate,,2.25,,0.0,,,,,,644096,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 10:10:20+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
83,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,a90848af417cd6cd1342fcdb3a2d23b4,,,,exe,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
84,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,6fd33787c1344bdedc931434599cc960,,,,exe,,,cybergate,,2.25,,0.0,,,,,,240128,,,,,,,,4.0,,,,,,46080,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xbca4,,
85,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 07:13:31+01:00,,4.0,,,,,,,,,,,,,,,,,0,,a54e58e3239d90bfcdc4b18f69cc6c67,,,,,,,cybergate,,2.25,,0.0,,,,,,240128,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 07:13:31+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
86,,Remote Service Application,,English (U.S.),MSRSAAPP,,,,,,Windows GUI,2012:06:07 16:59:53+01:00,PE32,,,,4.0,Copyright (C) 1999,,,,,4.0.0.0,,,,,,,Unicode,,,,0,Win32,ddeca23b697762faa189f94a6fc158b2,,,Remote Service Application,exe,,"4, 0, 0, 0",cybergate,,2.25,,0.0,4.0.0.0,0x003f,,,,86528,,,MSRSAAP.EXE,,,,Microsoft Corp.,4.0,,,,,,586752,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Remote Service Application,,,,"Intel 386 or later, and compatibles",0,0x8f888,Executable application,
87,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:05:25 20:18:35+01:00,,4.0,,,,,,,,,,,,,,,,,0,,98796034b56125cdf61cdaf2c9bb8f10,,,,,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:05:25 20:18:35+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
88,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,1c60124c9a8e604078f519c4dfea855c,,,,exe,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
89,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,1a7f51bbf414dec32b6958f6f291184a,,,,,,,cybergate,,2.25,,0.0,,,,,,243200,,,,,,,,4.0,,,,,,45568,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xbbcc,,
90,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:05:27 16:14:01+01:00,,4.0,,,,,,,,,,,,,,,,,0,,a33c8fa06bcc84393d0d7bcefddc4d70,,,,,,,cybergate,,2.25,,0.0,,,,,,243200,,,,,,,,4.0,,,,,,45568,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:05:27 16:14:01+01:00,,,"Intel 386 or later, and compatibles",,0xbbcc,,
91,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 06:39:46+01:00,,4.0,,,,,,,,,,,,,,,,,0,,2c8bdb2620e0cb5844a32f4a2e134f04,,,,,,,cybergate,,2.25,,0.0,,,,,,243200,,,,,,,,4.0,,,,,,45568,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 06:39:46+01:00,,,"Intel 386 or later, and compatibles",,0xbbcc,,
92,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 06:10:25+01:00,,4.0,,,,,,,,,,,,,,,,,0,,6d2fb50599068772d6c3ac508bfb9b41,,,,,,,cybergate,,2.25,,0.0,,,,,,239616,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 06:10:25+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
93,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,044237a829c8298d996dd0c302be1853,,,,exe,,,cybergate,,2.25,,0.0,,,,,,242688,,,,,,,,4.0,,,,,,46592,application/octet-stream,,,,"Executable, No line numbers, No symbols, Bytes reversed lo, 32-bit, Bytes reversed hi",,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xbe3c,,
94,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,e41754c51c658e1e56e41bfe656c0781,,,,exe,,,cybergate,,2.25,,0.0,,,,,,557568,,,,,,,,4.0,,,,,,46080,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xbca4,,
95,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,8803d50c9065603ee66a17e25c1212b0,,,,exe,,,cybergate,,2.25,,0.0,,,,,,292352,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
96,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,2014:07:06 09:23:48+01:00,,4.0,,,,,,,,,,,,,,,,,0,,ddca2e3af7db65056f76a5f2178620f7,,,,,,,cybergate,,2.25,,0.0,,,,,,239616,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,2014:07:06 09:23:48+01:00,,,"Intel 386 or later, and compatibles",,0xe1a8,,
97,,,,,,,,,,,Windows GUI,1992:06:19 23:22:17+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,77824,,9366855dc179cd99e94c18696e9625d6,,,,,,,cybergate,,2.25,,0.0,,,,,,4096,,,,,,,,4.0,,,,,,503808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x8e380,,
98,,,,,,,,,,,Windows GUI,1992:06:20 00:22:17+02:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,26dc848575bc3204627dea150b10a2e8,,,,exe,,,cybergate,,2.25,,0.0,,,,,,246784,,,,,,,,4.0,,,,,,55808,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xe1a8,,
99,,,,Neutral,java,,,,,,Windows command line,2015:02:08 00:08:32+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,9e06e2fcda95624e24207112632934de,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
100,,,,Neutral,java,,,,,,Windows command line,2015:02:09 22:20:56+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,5b4c1b0e5c0c375594018a79b2a7a4be,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
101,,,,Neutral,java,,,,,,Windows command line,2015:02:06 10:32:13+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,a78a2cfcb76422b16936537bc5296996,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
102,,,,Neutral,java,,,,,,Windows command line,2015:02:04 22:51:19+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,b382486264996132983c279b056bab2a,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
103,,,,Neutral,java,,,,,,Windows command line,2015:02:09 14:52:36+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,dfa8814b043cbd03bbd56fe6783a159d,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
104,,,,Neutral,java,,,,,,Windows command line,2015:02:10 10:23:55+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,075d6ac8bd9c1d1e0ba6aca7ca98bfab,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
