CVE, Earliest Recorded Date
CVE-2016-6435, 2016-10-10 00:00:00
CVE-2014-7228, 2014-09-29 00:00:00
CVE-2012-3815, 2012-06-04 00:00:00
CVE-2016-6433, 2016-10-10 00:00:00
CVE-2003-0220, 2003-04-28 00:00:00
CVE-1999-0506, 2017-08-13 14:12:13.747000
CVE-1999-0504, 1999-01-01 00:00:00
CVE-1999-0502, 1999-01-01 00:00:00
CVE-2011-3659, 2011-12-06 00:00:00
CVE-2011-3658, 2011-12-06 00:00:00
CVE-2013-0025, 2013-02-13 00:00:00
CVE-2011-3494, 2011-09-06 00:00:00
CVE-2011-3497, 2011-09-16 00:00:00
CVE-2011-3492, 2011-09-13 00:00:00
CVE-2014-9195, 2015-05-20 00:00:00
CVE-2012-5204, 2017-08-13 14:13:39.079000
CVE-2011-2386, 2011-05-20 00:00:00
CVE-2012-5202, 2017-08-13 14:13:17.586000
CVE-2012-5201, 2013-03-07 00:00:00
CVE-2007-1674, 2007-04-13 00:00:00
CVE-2008-5416, 2008-12-09 00:00:00
CVE-2010-4417, 2010-06-09 00:00:00
CVE-2007-6377, 2007-12-10 00:00:00
CVE-2013-5877, 2014-02-28 00:00:00
CVE-2013-3619, 2013-11-06 00:00:00
CVE-2000-0248, 2000-04-04 00:00:00
CVE-2006-0564, 2006-02-06 00:00:00
CVE-2016-3714, 2016-05-03 00:00:00
CVE-2012-2962, 2012-07-22 00:00:00
CVE-2017-6526, 2017-03-08 00:00:00
CVE-2017-6527, 2017-03-08 00:00:00
CVE-2012-0897, 2012-01-16 00:00:00
CVE-2009-3960, 2017-08-13 14:17:54.122000
CVE-2009-3214, 2009-08-20 00:00:00
CVE-2010-4094, 2017-08-13 14:18:21.307000
CVE-2008-2938, 2009-01-09 00:00:00
CVE-2014-9222, 2014-12-17 00:00:00
CVE-2013-4490, 2013-11-04 00:00:00
CVE-2015-7450, 2015-11-06 00:00:00
CVE-2012-6301, 2012-12-01 00:00:00
CVE-2015-2342, 2013-05-22 00:00:00
CVE-2009-0323, 2009-01-28 00:00:00
CVE-1999-0531, 2017-08-13 14:12:17.788000
CVE-2008-4922, 2008-10-30 00:00:00
CVE-2013-4011, 2013-09-24 00:00:00
CVE-2006-0295, 2006-02-02 00:00:00
CVE-2005-0116, 2005-01-15 00:00:00
CVE-2007-3010, 2007-09-09 00:00:00
CVE-2005-3314, 2005-11-18 00:00:00
CVE-2016-0710, 2016-03-06 00:00:00
CVE-2012-2020, 2012-07-09 00:00:00
CVE-2011-5164, 2011-11-09 00:00:00
CVE-2009-0183, 2009-02-02 00:00:00
CVE-2009-0187, 2009-02-03 00:00:00
CVE-2009-0184, 2009-02-02 00:00:00
CVE-2015-7857, 2015-10-23 00:00:00
CVE-2012-3569, 2012-11-08 00:00:00
CVE-2004-1037, 2004-10-01 00:00:00
CVE-2008-4322, 2008-09-26 00:00:00
CVE-2010-3600, 2011-01-18 00:00:00
CVE-2010-2731, 2010-07-02 00:00:00
CVE-2009-2367, 2017-08-13 14:13:56.443000
CVE-2016-1531, 2016-03-10 00:00:00
CVE-2016-4010, 2016-05-17 00:00:00
CVE-2014-4671, 2014-07-08 00:00:00
CVE-2007-3389, 2007-02-22 00:00:00
CVE-2005-0684, 2005-04-26 00:00:00
CVE-2017-7615, 2017-04-16 00:00:00
CVE-2008-3257, 2008-07-17 00:00:00
CVE-2007-4387, 2007-08-15 00:00:00
CVE-2013-2143, 2014-03-24 00:00:00
CVE-2009-3563, 2009-10-04 00:00:00
CVE-2005-1790, 2005-11-21 00:00:00
CVE-2013-2370, 2013-07-24 00:00:00
CVE-2014-0224, 2014-06-05 00:00:00
CVE-2014-4076, 2014-11-11 00:00:00
CVE-2007-3566, 2007-07-24 00:00:00
CVE-2009-3699, 2009-10-07 00:00:00
CVE-2006-4847, 2006-09-14 00:00:00
CVE-2011-0609, 2011-03-15 00:00:00
CVE-2009-3693, 2009-09-29 00:00:00
CVE-2005-4145, 2005-12-08 00:00:00
CVE-2011-0267, 2011-01-10 00:00:00
CVE-2011-0266, 2011-01-10 00:00:00
CVE-2006-4602, 2006-09-02 00:00:00
CVE-2014-5470, 2014-08-28 00:00:00
CVE-2016-2098, 2016-03-01 00:00:00
