CVE, Earliest Recorded Date
CVE-2002-2226, 2002-11-19 00:00:00
CVE-2006-3252, 2006-06-26 00:00:00
CVE-2013-7260, 2013-12-20 00:00:00
CVE-2015-7387, 2015-07-11 00:00:00
CVE-2009-0658, 2009-02-19 00:00:00
CVE-2013-3214, 2013-03-26 00:00:00
CVE-2012-0297, 2012-05-17 00:00:00
CVE-2004-0430, 2004-05-03 00:00:00
CVE-2012-0299, 2012-05-17 00:00:00
CVE-2011-1996, 2012-10-11 00:00:00
CVE-2011-3829, 2011-11-10 00:00:00
CVE-2012-4969, 2017-08-13 14:10:15.114000
CVE-2013-6117, 2017-08-13 14:18:37.715000
CVE-2006-2237, 2006-05-04 00:00:00
CVE-2006-5229, 2017-08-13 14:15:46.792000
CVE-2011-4929, 2010-12-19 00:00:00
CVE-2010-3338, 2010-09-13 00:00:00
CVE-2006-1255, 2006-03-17 00:00:00
CVE-2010-3333, 2010-11-09 00:00:00
CVE-2016-0854, 2016-02-05 00:00:00
CVE-2009-2650, 2009-07-01 00:00:00
CVE-2014-8636, 2014-01-20 00:00:00
CVE-2014-0750, 2014-01-23 00:00:00
CVE-2005-2278, 2005-07-13 00:00:00
CVE-2010-0232, 2010-01-19 00:00:00
CVE-2011-0807, 2011-08-04 00:00:00
CVE-2009-3672, 2009-11-20 00:00:00
CVE-2012-0270, 2012-02-23 00:00:00
CVE-2005-2877, 2005-09-14 00:00:00
CVE-2008-1491, 2008-03-21 00:00:00
CVE-2002-0649, 2002-07-24 00:00:00
CVE-2011-2950, 2011-08-16 00:00:00
CVE-2013-0074, 2013-03-12 00:00:00
CVE-2005-2611, 2017-08-13 14:15:39.156000
CVE-2005-2612, 2005-08-09 00:00:00
CVE-2011-3176, 2012-02-22 00:00:00
CVE-2011-3175, 2012-02-22 00:00:00
CVE-2010-0304, 2010-01-27 00:00:00
CVE-2006-6184, 2006-11-27 00:00:00
CVE-2009-2936, 2017-08-13 14:19:05.618000
CVE-2011-2882, 2011-07-14 00:00:00
CVE-2007-5107, 2007-09-24 00:00:00
CVE-2008-2703, 2008-07-02 00:00:00
CVE-2012-2288, 2012-08-29 00:00:00
CVE-2009-1831, 2009-05-20 00:00:00
CVE-2004-2687, 2002-02-01 00:00:00
CVE-2011-2089, 2011-05-05 00:00:00
CVE-2005-2297, 2005-07-25 00:00:00
CVE-2010-0017, 2017-08-13 14:11:36.622000
CVE-2009-3068, 2009-09-23 00:00:00
CVE-2016-3321, 2016-08-09 00:00:00
CVE-2015-5082, 2015-06-28 00:00:00
CVE-2007-2918, 2007-05-31 00:00:00
CVE-2007-2919, 2007-06-06 00:00:00
CVE-2006-3524, 2006-07-10 00:00:00
CVE-2005-2120, 2017-08-13 14:13:13.028000
CVE-2008-5448, 2009-01-14 00:00:00
CVE-2009-4140, 2009-12-14 00:00:00
CVE-2009-4498, 2009-09-10 00:00:00
CVE-2015-8562, 2015-12-14 00:00:00
CVE-2008-1724, 2008-04-07 00:00:00
CVE-2008-5444, 2009-01-14 00:00:00
CVE-2010-1964, 2010-06-16 00:00:00
CVE-2009-3849, 2009-12-09 00:00:00
CVE-2009-3843, 2009-11-09 00:00:00
CVE-2017-0358, 2017-01-05 00:00:00
CVE-2015-2284, 2015-03-13 00:00:00
CVE-2008-5666, 2008-09-26 00:00:00
CVE-2008-5664, 2008-12-16 00:00:00
CVE-2010-0870, 2010-04-26 00:00:00
CVE-2008-4828, 2009-11-04 00:00:00
CVE-2012-1803, 2017-08-13 14:12:39.948000
CVE-2013-6935, 2013-11-01 00:00:00
CVE-2008-4008, 2008-09-09 00:00:00
CVE-2014-3828, 2014-10-15 00:00:00
CVE-2004-1558, 2004-09-27 00:00:00
CVE-2015-0975, 2015-01-08 00:00:00
CVE-2004-1550, 2004-09-24 00:00:00
CVE-2015-1155, 2014-01-16 00:00:00
CVE-2004-1080, 2004-12-14 00:00:00
CVE-2012-2122, 2012-06-09 00:00:00
CVE-2007-2175, 2007-04-23 00:00:00
CVE-2008-5711, 2008-01-31 00:00:00
CVE-2013-2827, 2014-01-14 00:00:00
CVE-2011-1213, 2011-05-24 00:00:00
CVE-2009-1029, 2009-02-27 00:00:00
CVE-2009-1028, 2009-03-09 00:00:00
CVE-2015-3224, 2015-06-16 00:00:00
CVE-2005-1815, 2005-05-27 00:00:00
CVE-2005-1812, 2005-05-31 00:00:00
CVE-2017-0199, 2017-04-14 00:00:00
CVE-2005-1213, 2005-06-14 00:00:00
CVE-2004-0206, 2004-10-12 00:00:00
CVE-2007-4515, 2007-08-30 00:00:00
CVE-2006-6423, 2006-12-11 00:00:00
CVE-2007-3314, 2007-06-19 00:00:00
CVE-2006-6425, 2006-12-23 00:00:00
CVE-2006-6424, 2006-12-23 00:00:00
CVE-2010-2309, 2010-06-01 00:00:00
CVE-2010-1871, 2010-07-19 00:00:00
CVE-2015-2065, 2015-02-24 00:00:00
CVE-2005-0511, 2005-02-25 00:00:00
CVE-2009-1730, 2009-05-16 00:00:00
CVE-2010-3654, 2010-10-28 00:00:00
CVE-2004-0331, 2004-02-26 00:00:00
CVE-2004-0330, 2004-02-26 00:00:00
CVE-2013-3205, 2013-09-10 00:00:00
CVE-2013-6031, 2013-11-11 00:00:00
CVE-2012-0284, 2012-07-17 00:00:00
CVE-2011-4642, 2011-12-12 00:00:00
CVE-2011-1140, 2011-03-01 00:00:00
CVE-2005-0768, 2005-03-15 00:00:00
CVE-2008-0621, 2008-02-04 00:00:00
CVE-2009-1350, 2009-04-06 00:00:00
CVE-2013-4835, 2013-10-30 00:00:00
CVE-2010-0822, 2010-06-08 00:00:00
CVE-2006-5780, 2006-11-06 00:00:00
CVE-2011-0922, 2011-11-02 00:00:00
CVE-2011-0923, 2011-02-07 00:00:00
CVE-2013-2641, 2013-04-03 00:00:00
CVE-2016-2203, 2015-12-17 00:00:00
CVE-2006-5143, 2006-10-05 00:00:00
CVE-2012-5958, 2013-01-29 00:00:00
CVE-2015-5477, 2015-07-28 00:00:00
CVE-2009-4178, 2009-12-09 00:00:00
CVE-2006-5815, 2006-11-26 00:00:00
CVE-2006-1016, 2006-02-24 00:00:00
CVE-2005-2265, 2005-07-13 00:00:00
CVE-2014-0659, 2013-12-31 00:00:00
CVE-2015-2843, 2015-04-21 00:00:00
CVE-2010-2861, 2017-08-13 14:15:49.736000
CVE-2011-3360, 2011-07-18 00:00:00
CVE-2011-3368, 2017-08-13 14:10:58.043000
CVE-2011-4862, 2011-12-23 00:00:00
CVE-2012-0266, 2012-01-11 00:00:00
CVE-2012-0267, 2012-01-11 00:00:00
CVE-2012-4554, 2012-10-17 00:00:00
CVE-2012-0261, 2012-01-05 00:00:00
CVE-2002-1123, 2002-08-05 00:00:00
CVE-2002-1120, 2002-09-10 00:00:00
CVE-2011-2763, 2011-07-13 00:00:00
CVE-2007-0038, 2007-03-28 00:00:00
CVE-2016-8869, 2016-10-25 00:00:00
CVE-2014-5377, 2014-08-28 00:00:00
CVE-2015-2993, 2015-06-03 00:00:00
CVE-2015-2996, 2015-06-03 00:00:00
CVE-2015-2995, 2015-06-03 00:00:00
CVE-2015-2994, 2015-06-03 00:00:00
CVE-2007-0325, 2007-02-12 00:00:00
CVE-2000-0917, 2000-09-25 00:00:00
CVE-2014-2477, 2014-07-15 00:00:00
CVE-2008-2551, 2008-06-03 00:00:00
CVE-2012-3485, 2012-08-11 00:00:00
CVE-2013-5696, 2013-09-12 00:00:00
CVE-1999-0103, 1996-02-08 00:00:00
CVE-2005-2733, 2005-08-25 00:00:00
CVE-2004-2691, 2004-06-24 00:00:00
CVE-2013-4614, 2013-06-18 00:00:00
CVE-2013-4615, 2013-06-18 00:00:00
CVE-2005-2287, 2005-07-11 00:00:00
CVE-2013-5743, 2013-09-23 00:00:00
CVE-2013-5211, 2014-08-25 00:00:00
CVE-2011-3544, 2011-10-18 00:00:00
CVE-2008-6898, 2008-12-29 00:00:00
CVE-2007-1036, 2007-02-20 00:00:00
CVE-2010-2883, 2010-09-07 00:00:00
CVE-2013-4988, 2013-12-10 00:00:00
CVE-2007-6204, 2007-12-06 00:00:00
CVE-2013-4983, 2013-09-06 00:00:00
CVE-2013-4984, 2013-09-06 00:00:00
CVE-2003-0714, 2003-10-15 00:00:00
CVE-2006-2685, 2008-06-14 00:00:00
CVE-2003-0719, 2004-04-13 00:00:00
CVE-1999-1011, 1998-07-17 00:00:00
CVE-2012-6554, 2012-05-30 00:00:00
CVE-2012-0708, 2012-05-19 00:00:00
CVE-2009-4484, 2010-01-25 00:00:00
CVE-2012-4792, 2012-12-27 00:00:00
CVE-2009-3853, 2009-11-04 00:00:00
CVE-2010-1465, 2010-04-11 00:00:00
CVE-2007-1819, 2007-04-04 00:00:00
CVE-2014-3704, 2014-10-15 00:00:00
CVE-2015-6522, 2015-08-18 00:00:00
CVE-2014-2127, 2014-04-09 00:00:00
CVE-2008-5492, 2008-06-16 00:00:00
CVE-2007-5863, 2007-12-17 00:00:00
CVE-2008-4830, 2009-04-15 00:00:00
CVE-2015-3105, 2015-05-12 00:00:00
CVE-2008-4384, 2008-10-06 00:00:00
CVE-2008-4385, 2008-10-16 00:00:00
CVE-2013-3346, 2013-08-08 00:00:00
CVE-2013-4164, 2013-11-22 00:00:00
CVE-2017-8464, 2017-06-13 00:00:00
CVE-2010-2263, 2017-08-13 14:13:24.227000
CVE-2010-0356, 2010-01-12 00:00:00
CVE-2015-5889, 2015-10-01 00:00:00
CVE-2011-5010, 2011-09-08 00:00:00
CVE-2013-3522, 2013-03-24 00:00:00
CVE-2013-3520, 2013-05-15 00:00:00
CVE-2006-1652, 2006-04-04 00:00:00
CVE-2005-0353, 2005-03-07 00:00:00
CVE-2012-2626, 2012-07-27 00:00:00
CVE-2004-1638, 2004-10-26 00:00:00
CVE-2010-1681, 2010-05-04 00:00:00
CVE-2013-3238, 2013-04-25 00:00:00
CVE-2004-0326, 2004-02-23 00:00:00
CVE-2015-0964, 2015-04-08 00:00:00
CVE-2013-2347, 2014-01-02 00:00:00
CVE-2012-6096, 2012-12-09 00:00:00
CVE-2013-2343, 2013-06-28 00:00:00
CVE-2013-2010, 2013-04-17 00:00:00
CVE-2013-1690, 2013-06-25 00:00:00
CVE-2005-0771, 2017-08-13 14:18:01.822000
CVE-2005-0773, 2005-06-22 00:00:00
CVE-2004-0695, 2004-07-13 00:00:00
CVE-2012-4940, 2012-10-31 00:00:00
CVE-2002-1359, 2002-12-16 00:00:00
CVE-2015-1187, 2015-02-26 00:00:00
CVE-2017-8291, 2017-04-27 00:00:00
CVE-2013-2121, 2013-06-06 00:00:00
CVE-2009-1612, 2009-04-30 00:00:00
CVE-2013-7331, 2014-09-09 00:00:00
CVE-2011-3200, 2011-09-01 00:00:00
CVE-2006-5792, 2009-10-03 00:00:00
CVE-2011-0951, 2017-08-13 14:12:59.636000
CVE-2012-4705, 2013-02-02 00:00:00
CVE-2009-0815, 2009-02-10 00:00:00
CVE-2006-5156, 2006-07-17 00:00:00
CVE-2012-5946, 2013-04-26 00:00:00
CVE-2014-9707, 2017-08-13 14:18:52.556000
CVE-2005-1009, 2005-04-01 00:00:00
CVE-2007-3435, 2007-06-22 00:00:00
CVE-2011-4786, 2012-01-11 00:00:00
CVE-2017-11882, 2018-02-01 08:10:21.085000
CVE-2011-3976, 2011-10-12 00:00:00
CVE-2011-4789, 2012-01-12 00:00:00
CVE-2001-0168, 2001-01-29 00:00:00
CVE-1999-1510, 2011-08-07 00:00:00
CVE-2015-2856, 2015-07-10 00:00:00
CVE-2015-2857, 2015-07-10 00:00:00
CVE-2001-0167, 2001-01-29 00:00:00
CVE-2009-0927, 2009-03-24 00:00:00
CVE-2009-0920, 2009-01-21 00:00:00
CVE-2008-2161, 2008-07-05 00:00:00
CVE-2005-2852, 2007-01-21 00:00:00
CVE-2007-5603, 2007-11-01 00:00:00
CVE-2012-6636, 2012-12-21 00:00:00
CVE-2016-10033, 2016-12-26 00:00:00
CVE-2013-5036, 2013-08-06 00:00:00
CVE-2010-0679, 2010-02-10 00:00:00
CVE-2002-0392, 2002-06-19 00:00:00
CVE-2013-1300, 2013-12-01 00:00:00
CVE-2006-4688, 2006-11-14 00:00:00
CVE-2015-0359, 2014-04-14 00:00:00
CVE-2009-3103, 2009-09-07 00:00:00
CVE-2007-0449, 2007-01-31 00:00:00
CVE-2013-0653, 2013-01-22 00:00:00
CVE-2007-5659, 2008-02-08 00:00:00
CVE-2014-7146, 2014-11-08 00:00:00
CVE-2006-2926, 2006-06-07 00:00:00
CVE-2006-0476, 2006-01-29 00:00:00
CVE-2006-3439, 2006-08-08 00:00:00
CVE-2008-2905, 2008-06-14 00:00:00
CVE-2012-0663, 2012-05-15 00:00:00
CVE-2002-1142, 2002-11-20 00:00:00
CVE-2017-6334, 2017-02-25 00:00:00
CVE-2014-2268, 2014-03-05 00:00:00
CVE-2010-4221, 2010-11-01 00:00:00
CVE-2011-3556, 2011-10-15 00:00:00
CVE-2012-1723, 2012-06-06 00:00:00
CVE-2006-4777, 2006-11-14 00:00:00
CVE-2012-5613, 2012-12-01 00:00:00
CVE-2007-1559, 2007-04-11 00:00:00
CVE-2015-7007, 2015-10-16 00:00:00
CVE-2008-5002, 2008-11-03 00:00:00
CVE-2011-5227, 2011-12-19 00:00:00
CVE-2014-6038, 2014-11-05 00:00:00
CVE-2014-6037, 2014-08-31 00:00:00
CVE-2014-6034, 2014-09-27 00:00:00
CVE-2001-0414, 2001-04-04 00:00:00
CVE-2008-0610, 2008-02-06 00:00:00
CVE-2010-0103, 2010-03-05 00:00:00
CVE-2006-5276, 2007-02-19 00:00:00
CVE-2016-7552, 2017-04-10 00:00:00
CVE-2017-0372, 2017-04-06 00:00:00
CVE-2008-1602, 2008-04-03 00:00:00
CVE-2012-1535, 2012-08-09 00:00:00
CVE-2017-5689, 2017-05-05 00:00:00
CVE-2012-1823, 2012-05-03 00:00:00
CVE-2012-1533, 2012-10-16 00:00:00
CVE-2013-4798, 2013-07-24 00:00:00
CVE-2009-4588, 2009-07-10 00:00:00
CVE-2008-0506, 2008-01-30 00:00:00
CVE-2015-1172, 2015-02-11 00:00:00
CVE-2003-1141, 2003-11-05 00:00:00
CVE-2016-0099, 2016-03-21 00:00:00
CVE-2008-3558, 2008-08-06 00:00:00
CVE-2014-4880, 2014-11-19 00:00:00
CVE-2011-5007, 2011-12-02 00:00:00
CVE-2011-5001, 2011-12-07 00:00:00
CVE-2011-5003, 2011-11-29 00:00:00
CVE-2010-2415, 2010-10-13 00:00:00
CVE-2004-1626, 2004-10-22 00:00:00
CVE-2008-0871, 2008-02-19 00:00:00
CVE-2014-8270, 2014-12-09 00:00:00
CVE-2012-6081, 2012-12-30 00:00:00
CVE-2001-0797, 2001-12-12 00:00:00
CVE-2013-2333, 2013-06-03 00:00:00
CVE-2013-2068, 2013-09-04 00:00:00
CVE-2016-5330, 2016-08-05 00:00:00
CVE-2012-4958, 2012-11-16 00:00:00
CVE-2012-4959, 2012-11-16 00:00:00
CVE-2006-6063, 2006-11-21 00:00:00
CVE-2012-4956, 2012-11-16 00:00:00
CVE-2012-4957, 2012-11-16 00:00:00
CVE-2010-2743, 2010-10-12 00:00:00
CVE-2016-4557, 2016-05-04 00:00:00
CVE-2012-0391, 2010-07-13 00:00:00
CVE-2012-0394, 2012-01-06 00:00:00
CVE-2006-0992, 2006-04-13 00:00:00
CVE-2005-1543, 2005-05-19 00:00:00
CVE-2013-2465, 2013-08-12 00:00:00
CVE-2013-2460, 2013-06-18 00:00:00
CVE-2005-1018, 2005-04-11 00:00:00
CVE-2009-3591, 2009-10-05 00:00:00
CVE-2014-7992, 2014-11-17 00:00:00
CVE-2014-0094, 2014-03-06 00:00:00
CVE-2012-4711, 2012-11-20 00:00:00
CVE-2014-0257, 2014-02-11 00:00:00
CVE-2006-0848, 2006-02-21 00:00:00
CVE-2010-0248, 2010-01-21 00:00:00
CVE-2010-0249, 2010-01-14 00:00:00
CVE-2011-3305, 2017-08-13 14:15:24.310000
CVE-2010-0480, 2010-04-13 00:00:00
CVE-2010-0483, 2010-02-26 00:00:00
CVE-2007-4006, 2007-07-24 00:00:00
CVE-2015-0002, 2014-09-30 00:00:00
CVE-2014-7863, 2015-01-28 00:00:00
CVE-2014-7862, 2014-12-31 00:00:00
CVE-2005-2847, 2005-09-01 00:00:00
CVE-2010-0805, 2010-03-09 00:00:00
CVE-2010-0806, 2010-03-09 00:00:00
CVE-2014-1610, 2014-01-28 00:00:00
CVE-2000-0573, 2000-06-22 00:00:00
CVE-2011-2140, 2011-08-09 00:00:00
CVE-2013-0229, 2013-03-27 00:00:00
CVE-2009-2477, 2009-07-13 00:00:00
CVE-2016-2004, 2016-04-18 00:00:00
CVE-2006-4691, 2006-11-14 00:00:00
CVE-2006-5745, 2006-10-10 00:00:00
CVE-2007-0169, 2007-01-11 00:00:00
CVE-2007-5660, 2007-10-20 00:00:00
CVE-2008-2240, 2008-05-20 00:00:00
CVE-2013-0136, 2013-05-15 00:00:00
CVE-2017-6326, 2017-04-26 00:00:00
CVE-2003-0558, 2003-06-09 00:00:00
CVE-2001-0311, 2001-02-28 00:00:00
CVE-2012-5192, 2012-10-23 00:00:00
CVE-2007-0018, 2007-01-24 00:00:00
CVE-2014-8516, 2014-11-03 00:00:00
CVE-2014-8517, 2014-10-28 00:00:00
CVE-2007-0015, 2007-01-01 00:00:00
CVE-2014-2928, 2013-09-17 00:00:00
CVE-2007-5067, 2007-09-24 00:00:00
CVE-2015-8249, 2015-12-14 00:00:00
CVE-2004-2416, 2004-11-11 00:00:00
CVE-2011-2217, 2011-05-03 00:00:00
CVE-2015-2509, 2015-09-08 00:00:00
CVE-2014-7285, 2014-12-16 00:00:00
CVE-2009-1979, 2009-10-20 00:00:00
CVE-2009-1977, 2010-07-13 00:00:00
CVE-2005-3155, 2005-10-03 00:00:00
CVE-2009-3837, 2009-10-22 00:00:00
CVE-2012-3811, 2012-06-28 00:00:00
CVE-2007-5511, 2007-10-17 00:00:00
CVE-2013-4786, 2013-06-20 00:00:00
CVE-1999-0651, 2017-08-13 14:11:00.543000
CVE-2013-4782, 2013-06-20 00:00:00
CVE-2010-3971, 2010-11-29 00:00:00
CVE-2010-3970, 2010-12-15 00:00:00
CVE-2010-3973, 2010-12-21 00:00:00
CVE-2009-4225, 2009-11-02 00:00:00
CVE-2008-4037, 2001-03-31 00:00:00
CVE-2008-5036, 2008-11-05 00:00:00
CVE-2007-3925, 2007-07-18 00:00:00
CVE-2007-3147, 2007-06-05 00:00:00
CVE-2008-0311, 2008-04-02 00:00:00
CVE-2011-1220, 2011-05-31 00:00:00
CVE-2006-3747, 2006-07-28 00:00:00
CVE-2009-0580, 2017-08-13 14:10:38.798000
CVE-2014-5519, 2014-09-11 00:00:00
CVE-2005-3398, 2017-08-13 14:14:24.204000
CVE-2013-2251, 2013-07-02 00:00:00
CVE-2008-3984, 2008-10-13 00:00:00
CVE-2009-0978, 2009-05-04 00:00:00
CVE-2008-3983, 2008-10-22 00:00:00
CVE-2008-3982, 2008-10-13 00:00:00
CVE-2010-2620, 2012-06-18 00:00:00
CVE-2017-0147, 2017-03-14 00:00:00
CVE-2017-0143, 2017-08-13 14:13:11.498000
CVE-1999-0508, 2017-08-13 14:18:07.170000
CVE-2009-0695, 2009-07-10 00:00:00
CVE-2014-0038, 2014-02-02 00:00:00
CVE-2015-3306, 2015-04-22 00:00:00
CVE-2009-1185, 2009-04-16 00:00:00
CVE-2017-3823, 2017-01-21 00:00:00
CVE-2017-9769, 2017-03-22 00:00:00
CVE-2015-2673, 2015-02-25 00:00:00
CVE-2009-3459, 2009-10-08 00:00:00
CVE-2012-0013, 2012-01-10 00:00:00
CVE-2009-1569, 2009-12-08 00:00:00
CVE-2011-1485, 2011-04-01 00:00:00
CVE-2007-3216, 2007-06-06 00:00:00
CVE-2012-4924, 2012-02-17 00:00:00
CVE-2013-2492, 2013-01-31 00:00:00
CVE-2006-0027, 2004-11-12 00:00:00
CVE-2011-4075, 2011-10-24 00:00:00
CVE-2009-0837, 2009-03-09 00:00:00
CVE-2009-0836, 2009-03-09 00:00:00
CVE-2013-1412, 2013-01-28 00:00:00
CVE-2012-0124, 2012-03-12 00:00:00
CVE-2006-0987, 2017-08-13 14:10:54.879000
CVE-2009-2692, 2009-08-13 00:00:00
CVE-2013-1892, 2013-03-24 00:00:00
CVE-2013-1899, 2017-08-13 14:14:09.336000
CVE-2002-1643, 2002-12-20 00:00:00
CVE-2010-0478, 2010-04-13 00:00:00
CVE-2006-6665, 2006-12-19 00:00:00
CVE-2015-0016, 2015-01-13 00:00:00
CVE-2008-2992, 2008-02-08 00:00:00
CVE-2015-5531, 2017-08-13 14:16:52.017000
CVE-2010-2227, 2010-07-09 00:00:00
CVE-2012-5203, 2017-08-13 14:18:31.316000
CVE-2012-5525, 2017-08-13 14:16:04.779000
CVE-2010-1527, 2010-08-20 00:00:00
CVE-2012-2516, 2012-06-26 00:00:00
CVE-2004-1561, 2004-09-28 00:00:00
CVE-2013-0232, 2013-01-22 00:00:00
CVE-2013-0233, 2013-01-28 00:00:00
CVE-2013-0230, 2013-03-27 00:00:00
CVE-2011-3402, 2017-08-13 14:11:11.443000
CVE-2011-3400, 2011-12-13 00:00:00
CVE-2012-2176, 2012-05-23 00:00:00
CVE-2015-0336, 2015-03-12 00:00:00
CVE-2010-0840, 2010-03-31 00:00:00
CVE-2015-8103, 2015-11-18 00:00:00
CVE-2009-3129, 2009-11-10 00:00:00
CVE-2008-2031, 2008-10-24 00:00:00
CVE-2004-2086, 2003-06-21 00:00:00
CVE-2009-2990, 2009-10-13 00:00:00
CVE-2009-3028, 2009-09-09 00:00:00
CVE-2009-3023, 2009-08-31 00:00:00
CVE-2008-1697, 2008-04-02 00:00:00
CVE-2009-2514, 2009-11-10 00:00:00
CVE-2015-0240, 2017-08-13 14:19:04.225000
CVE-2013-5576, 2013-08-01 00:00:00
CVE-2008-2639, 2008-06-11 00:00:00
CVE-2010-4804, 2017-08-13 14:14:27.355000
CVE-2007-2888, 2007-05-24 00:00:00
CVE-2013-5795, 2014-02-28 00:00:00
CVE-2015-7755, 2015-12-20 00:00:00
CVE-2008-6825, 2008-07-09 00:00:00
CVE-2007-5217, 2007-10-03 00:00:00
CVE-2011-2595, 2011-09-12 00:00:00
CVE-2004-2466, 2007-08-14 00:00:00
CVE-2015-3043, 2015-06-23 00:00:00
CVE-2000-0380, 2000-04-26 00:00:00
CVE-2007-1689, 2007-05-16 00:00:00
CVE-2014-3996, 2014-06-08 00:00:00
CVE-2007-1682, 2008-08-25 00:00:00
CVE-2017-5521, 2017-08-13 14:16:46.797000
CVE-2013-3568, 2013-07-12 00:00:00
CVE-2013-3617, 2013-10-30 00:00:00
CVE-2008-6132, 2008-10-01 00:00:00
CVE-2007-1373, 2007-03-06 00:00:00
CVE-2017-9805, 2017-09-08 16:35:34.655000
CVE-2016-1909, 2016-01-09 00:00:00
CVE-2012-5076, 2012-10-16 00:00:00
CVE-2014-4404, 2014-09-24 00:00:00
CVE-2008-4193, 2008-06-02 00:00:00
CVE-2016-3213, 2016-06-14 00:00:00
CVE-1999-0667, 1999-12-22 00:00:00
CVE-2011-2462, 2011-12-06 00:00:00
CVE-2003-0349, 2003-06-25 00:00:00
CVE-2006-6707, 2007-07-07 00:00:00
CVE-2003-0344, 2003-06-04 00:00:00
CVE-2010-3962, 2010-11-03 00:00:00
CVE-2010-3964, 2010-12-14 00:00:00
CVE-2008-3979, 2009-01-13 00:00:00
CVE-2014-4971, 2014-07-18 00:00:00
CVE-2012-0911, 2012-07-04 00:00:00
CVE-2014-4977, 2014-07-24 00:00:00
CVE-2009-4850, 2009-11-14 00:00:00
CVE-2010-3747, 2010-11-15 00:00:00
CVE-2008-3996, 2008-10-22 00:00:00
CVE-2009-2265, 2009-07-03 00:00:00
CVE-2010-2343, 2010-06-07 00:00:00
CVE-2008-3995, 2008-10-22 00:00:00
CVE-2009-2261, 2009-06-05 00:00:00
CVE-2005-0491, 2005-02-18 00:00:00
CVE-2008-4572, 2008-10-12 00:00:00
CVE-2006-2370, 2006-06-13 00:00:00
CVE-2015-0936, 2015-04-01 00:00:00
CVE-2013-3248, 2013-07-08 00:00:00
CVE-2013-1662, 2013-08-22 00:00:00
CVE-2012-0002, 2012-03-16 00:00:00
CVE-2012-0003, 2012-01-10 00:00:00
CVE-2010-3106, 2010-08-04 00:00:00
CVE-2005-4267, 2005-12-20 00:00:00
CVE-2004-0397, 2004-05-19 00:00:00
CVE-2012-4933, 2017-08-13 14:10:54.329000
CVE-2011-1567, 2011-03-24 00:00:00
CVE-2011-1566, 2011-03-21 00:00:00
CVE-2011-1565, 2011-03-24 00:00:00
CVE-2011-4044, 2011-10-05 00:00:00
CVE-2011-1563, 2011-03-21 00:00:00
CVE-2010-3585, 2010-10-12 00:00:00
CVE-2011-4040, 2011-10-31 00:00:00
CVE-2017-8779, 2017-08-13 14:16:29.524000
CVE-2009-1429, 2009-04-28 00:00:00
CVE-2009-2685, 2009-11-04 00:00:00
CVE-2010-3563, 2010-10-12 00:00:00
CVE-2016-1000282, 2017-01-26 00:00:00
CVE-2006-3726, 2006-07-19 00:00:00
CVE-2013-0333, 2013-01-28 00:00:00
CVE-2012-1195, 2012-02-15 00:00:00
CVE-2011-3322, 2011-09-08 00:00:00
CVE-2010-0266, 2010-06-01 00:00:00
CVE-2014-0050, 2014-02-06 00:00:00
CVE-2015-3864, 2015-08-13 00:00:00
CVE-2006-5614, 2006-10-26 00:00:00
CVE-2012-4598, 2012-04-30 00:00:00
CVE-2011-4535, 2011-09-12 00:00:00
CVE-2013-1081, 2013-03-13 00:00:00
CVE-2012-5519, 2012-11-20 00:00:00
CVE-2015-4495, 2017-08-13 14:17:41.157000
CVE-2010-0866, 2010-02-01 00:00:00
CVE-2014-0476, 2014-06-04 00:00:00
CVE-2013-0758, 2013-01-08 00:00:00
CVE-2013-0753, 2013-01-08 00:00:00
CVE-2017-6048, 2017-04-07 00:00:00
CVE-2013-6955, 2013-10-31 00:00:00
CVE-2005-4734, 2005-10-21 00:00:00
CVE-2014-0980, 2014-02-05 00:00:00
CVE-2014-0983, 2014-03-11 00:00:00
CVE-2014-8440, 2014-11-11 00:00:00
CVE-2014-8684, 2015-03-01 00:00:00
CVE-2014-2238, 2014-02-28 00:00:00
CVE-2005-2086, 2004-11-12 00:00:00
CVE-1999-0256, 1998-03-19 00:00:00
CVE-2005-2773, 2005-08-25 00:00:00
CVE-2014-1903, 2014-03-21 00:00:00
CVE-2010-0738, 2010-04-26 00:00:00
CVE-2014-6593, 2015-01-20 00:00:00
CVE-2009-3033, 2009-11-04 00:00:00
CVE-2012-1775, 2012-03-15 00:00:00
CVE-2001-0333, 2001-05-15 00:00:00
CVE-2009-2521, 2009-09-03 00:00:00
CVE-2016-6366, 2017-08-13 14:19:25.164000
CVE-2008-1447, 2008-07-21 00:00:00
CVE-2013-5093, 2013-08-20 00:00:00
CVE-2008-1117, 2008-05-10 00:00:00
CVE-2014-1635, 2014-05-09 00:00:00
CVE-2010-4742, 2010-10-19 00:00:00
CVE-2010-4741, 2010-10-20 00:00:00
CVE-2007-6530, 2007-12-25 00:00:00
CVE-2008-0244, 2008-01-09 00:00:00
CVE-2007-1748, 2007-04-12 00:00:00
CVE-2008-1661, 2008-06-04 00:00:00
CVE-2014-6041, 2017-08-13 14:17:00.816000
CVE-2003-0990, 2007-07-09 00:00:00
CVE-2010-4344, 2010-12-07 00:00:00
CVE-2015-3673, 2015-07-01 00:00:00
CVE-2005-2373, 2005-07-21 00:00:00
CVE-2016-6563, 2016-11-07 00:00:00
CVE-2014-9312, 2014-11-11 00:00:00
CVE-2012-2983, 2012-09-06 00:00:00
CVE-2012-2982, 2012-09-06 00:00:00
